"temp","pop","plant","cat_id","date_hatch","date_4","delta_4","time_molt_4","mass_4","ln_4","date_5","delta_5","time_molt_5","mass_5","ln_5","date_w","delta_w","mass_w","ln_w","time_in_5"
"30","F","DC","Y","18-Jul-08","26-Jul-08",8,"12:00 PM",199.1,5.29,"28-Jul-08",10,"2:00 AM",1321.53,7.19,"2-Aug-08",15,8127.39,9.002995118,5
"30","F","DC","Z","18-Jul-08","26-Jul-08",8,"1:00 PM",125.34,4.83,"28-Jul-08",10,"11:00 PM",1885.76,7.54,"2-Aug-08",15,8582.67,9.057500333,5
"30","F","DC","AA","18-Jul-08","25-Jul-08",7,"2:00 AM",179.58,5.19,"27-Jul-08",9,"10:00 PM",1998.6,7.6,"1-Aug-08",14,9252.07,9.132602589,5
"30","F","DC","CC","18-Jul-08","25-Jul-08",7,"10:00 PM",220.18,5.39,"27-Jul-08",9,"11:00 PM",1872.14,7.53,"1-Aug-08",14,10168.14,9.227014581,5
"30","F","DC","DD","18-Jul-08","26-Jul-08",8,"2:00 AM",192.21,5.26,"28-Jul-08",10,"2:00 AM",1782.39,7.49,"2-Aug-08",15,8372.85,9.032749607,5
"30","F","TB","A","17-Jul-08","22-Jul-08",5,"8:00 AM",226.32,5.42,"24-Jul-08",7,"2:00 PM",1614.48,7.39,"27-Jul-08",10,9572.18,9.166616254,3
"30","F","TB","B","17-Jul-08","22-Jul-08",5,"9:00 PM",395.27,5.98,"24-Jul-08",7,"10:00 AM",1303.86,7.17,"29-Jul-08",12,10857.9,9.292648205,5
"30","F","TB","C","17-Jul-08","22-Jul-08",5,"2:00 PM",369.03,5.91,"24-Jul-08",7,"2:00 PM",1133.1,7.03,"27-Jul-08",10,8673.96,9.068080713,3
"30","F","TB","D","17-Jul-08","21-Jul-08",4,"9:00 PM",248.64,5.52,"23-Jul-08",6,"10:00 PM",1124.18,7.02,"27-Jul-08",10,8996.78,9.104622015,4
"30","F","TB","E","17-Jul-08","22-Jul-08",5,"10:00 AM",214.63,5.37,"24-Jul-08",7,"2:00 PM",1341.51,7.2,"27-Jul-08",10,9587.47,9.168212317,3
