ID,food,fate,date.max,mass.max,pop,para,HS,bin,date.death,survived,date.hatch,mass.hatch,date.3rd,mass.3rd,date.para,num.para,date.hs,date.4th,mass.4th,date.5th,mass.5th,date.6th,mass.6th,date.7th,mass.7th,date.w,mass.w,date.pupa,date.mass,mass.pupa,date.eclos,mass.eclos,sex,deformed,date.coc,date.remove,mass.remove,num.w.coc,num.w.larvae,wet,date.w.eclos,num.w.eclos,date.5th.2,mass.5th.2,date.5th.3,mass.5th.3,date.5th.4,mass.5th.4,date.6th.2,mass.6th.2,date.6th.3,mass.6th.3,date.6th.4,mass.6th.4,date.7th.2,mass.7th.2,,,date.out,mass.out,date.cull,notes
043,TB,dead,,,Clayton,no,yes,P,,no,07/17/2020,1,07/24/2020,16.12,,,07/24/2020,07/27/2020,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,DC,wander,8/12/20,8743.3,Clayton,no,yes,G,,yes,07/13/2020,1,07/25/2020,32.00,,,07/25/2020,07/28/2020,109.4,08/05/2020,2708.5,,,,,08/12/2020,8743.3,,09/04/2020,3702.06,09/10/2020,1890.78,f,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045,DC,wander,8/7/20,8556.2,Clayton,no,no,G,,yes,07/15/2020,1,07/25/2020,47.07,,,,07/28/2020,219.4,08/02/2020,1985.7,,,,,08/07/2020,8556.2,,08/25/2020,3574.15,09/06/2020,1102.04,m,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046,DC,wowe mongo,8/21/20,12713.2,Clayton,yes,yes,H,,yes,07/17/2020,1,07/25/2020,39.98,07/25/2020,3,07/25/2020,07/29/2020,261.2,08/01/2020,590.9,08/07/2020,3146.8,,,,,,,,,,,,,,,,,,,,08/15/2020,12247.2,08/21/2020,12713.2,,,,,,,08/28/2020,9187.9,,,,,08/29/2020,8305.9,,
047,DC,dead,,,MF,yes,no,H,07/27/2020,no,07/16/2020,1,07/26/2020,54.86,07/26/2020,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048,DC,dead,,,MF,yes,yes,I,07/28/2020,no,07/16/2020,1,07/26/2020,61.12,07/26/2020,3,07/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049,DC,dead,,,MF,yes,no,I,07/27/2020,no,07/16/2020,1,07/26/2020,38.60,07/26/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 7/26
050,DC,wander,8/9/20,8094.3,Clayton,no,yes,J,,yes,07/18/2020,1,07/26/2020,57.76,,,07/26/2020,07/29/2020,252.3,08/03/2020,1908.7,,,,,08/09/2020,8094.3,,08/31/2020,2670.81,09/08/2020,1206.46,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,DC,wander,8/9/20,7786,Clayton,no,no,J,,yes,07/15/2020,1,07/26/2020,37.10,,,,07/29/2020,160.3,08/03/2020,1557.1,,,,,08/09/2020,7786,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052,DC,em,8/12/20,440.57,Clayton,yes,yes,K,,yes,07/15/2020,1,07/26/2020,21.59,07/26/2020,2,07/26/2020,07/29/2020,76.1,08/02/2020,325.2,,,,,,,,,,,,,,08/09/2020,08/12/2020,440.57,1,0,no,08/15/2020,1,,,,,,,,,,,,,,,,,,,,
