ID,food,fate,date.max,mass.max,pop,para,HS,bin,date.death,survived,date.hatch,mass.hatch,date.3rd,mass.3rd,date.para,num.para,date.hs,date.4th,mass.4th,date.5th,mass.5th,date.6th,mass.6th,date.7th,mass.7th,date.w,mass.w,date.pupa,date.mass,mass.pupa,date.eclos,mass.eclos,sex,deformed,date.coc,date.remove,mass.remove,num.w.coc,num.w.larvae,wet,date.w.eclos,num.w.eclos,date.5th.2,mass.5th.2,date.5th.3,mass.5th.3,date.5th.4,mass.5th.4,date.6th.2,mass.6th.2,date.6th.3,mass.6th.3,date.6th.4,mass.6th.4,date.7th.2,mass.7th.2,,,date.out,mass.out,date.cull,notes
179,DC,wander,8/25/20,8247.8,MF,no,yes,L,,yes,08/03/2020,1,08/10/2020,55.21,,,08/10/2020,08/13/2020,266.6,08/18/2020,1966.4,,,,,08/25/20,8247.8,08/29/20,09/19/2020,2206.34,in box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,DC,wander,8/23/20,6410,MF,no,yes,D,,yes,08/03/2020,1,08/10/2020,46.62,,,08/10/2020,08/14/2020,448.5,08/18/2020,1949.4,,,,,08/23/2020,6410,,,,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,DC,wowe mongo,9/10/20,17200,MF,yes,yes,K,,yes,08/02/2020,1,08/11/2020,73.87,08/11/2020,2,08/11/2020,08/15/2020,186.7,08/20/2020,977.5,08/27/2020,3874.5,,,,,,,,,,,,,,,,,,,,,,,,,,09/03/2020,12228.2,09/10/2020,17200,,,,,,,09/10/2020,17200,,
182,DC,dead,,,MF,yes,no,Q,08/12/2020,no,08/02/2020,1,08/11/2020,26.65,08/11/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,DC,em,8/28/20,1048.76,MF,yes,no,U,,yes,08/02/2020,1,08/11/2020,27.95,08/11/2020,1,,08/15/2020,128.5,08/19/2020,667.6,,,,,,,,,,,,,,08/24/2020,08/28/2020,1048.76,56,0,no,08/30/2020,54,,,,,,,,,,,,,,,,,,,,
184,DC,?,,,MF,no,no,M,,yes,08/02/2020,1,08/11/2020,28.35,,,,08/15/2020,287.3,08/20/2020,1443.5,,,,,,,,,,in box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,DC,wowe,9/3/20,560.9,MF,yes,yes,BS,,yes,08/02/2020,1,08/11/2020,25.40,08/11/2020,1,08/11/2020,08/14/2020,56.5,08/18/2020,241.6,08/27/2020,695.5,,,,,,,,,,,,,,,,,,,,,,,,,,09/03/2020,833.8,09/10/2020,560.9,,,,,,,09/10/2020,560.9,,
186,DC,wander,8/29/20,7214.4,MF,yes,yes,BT,,yes,08/02/2020,1,08/11/2020,28.52,08/11/2020,1,08/11/2020,08/16/2020,187.3,08/21/2020,1294.4,,,,,08/29/2020,7214.4,,,,,,,,,,,,,,,,08/28/2020,8072.9,,,,,,,,,,,,,,,,,,
187,DC,wowe mongo,9/2/20,9638.6,MF,yes,yes,BU,,yes,08/03/2020,1,08/11/2020,74.69,08/11/2020,1,08/11/2020,08/15/2020,215.7,08/19/2020,1083.1,,,,,,,,,,,,,,,,,,,,,,,,09/02/2020,9368.6,,,,,,,,,,,,,09/02/2020,9638.6,,
188,DC,em,8/28/20,4714.48,MF,yes,no,BV,,yes,08/03/2020,1,08/11/2020,58.59,08/11/2020,3,,08/15/2020,343.1,08/20/2020,2431.6,,,,,,,,,,,,,,08/24/2020,08/28/2020,4714.48,100,98,yes,08/30/2020,64,,,,,,,,,,,,,,,,,,,,
189,DC,dead,,,MF,yes,yes,BJ,08/13/2020,no,08/02/2020,1,08/12/2020,54.69,08/12/2020,1,08/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,DC,dead,,,MF,yes,no,BB,08/13/2020,no,08/02/2020,1,08/12/2020,50.66,08/12/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,DC,wander,8/28/20,7311.2,MF,no,yes,BW,,yes,08/02/2020,1,08/12/2020,38.40,,,08/12/2020,,,08/22/2020,2038.1,,,,,08/28/2020,7311.2,,,,,,,,,,,,,,,,08/27/2020,8208.4,,,,,,,,,,,,,,,,,,missed molt to 4th
192,DC,wander,8/29/20,8644.9,MF,no,no,BX,,yes,08/02/2020,1,08/12/2020,46.31,,,,08/16/2020,206.6,08/22/2020,1709.7,,,,,08/29/2020,8644.9,,09/25/2020,3868.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,DC,wowe mongo,9/13/20,12652.5,MF,yes,yes,BY,,yes,08/02/2020,1,08/12/2020,39.05,08/12/2020,1,08/12/2020,08/16/2020,103.2,08/22/2020,599,08/30/2020,2361.4,,,,,,,,,,,,,,,,,,,,,,,,,,09/06/2020,9886.8,,,,,,,,,09/13/2020,12652.5,,bled 8/22?
194,DC,em,8/29/20,2725.27,MF,yes,no,BZ,,yes,08/02/2020,1,08/12/2020,62.07,08/12/2020,2,,08/15/2020,186.3,08/20/2020,1423.9,,,,,,,,,,,,,,08/25/2020,08/29/2020,2725.27,146,5,yes,08/30/2020,86,,,,,,,,,,,,,,,,,,,,
195,DC,wander,8/27/20,7758.8,MF,no,yes,DJ-BD,,yes,08/02/2020,1,08/12/2020,32.04,,,08/12/2020,08/17/2020,358,08/22/2020,2503.3,,,,,08/27/2020,7758.8,,,,in box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,DC,wander,8/26/20,6180,MF,no,no,DK-BB,,yes,08/02/2020,1,08/12/2020,57.08,,,,08/15/2020,265.6,08/19/2020,1302.4,,,,,08/26/2020,6180,,,,in box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,DC,wowe,9/2/20,783.2,MF,yes,yes,BH,,yes,08/02/2020,1,08/12/2020,33.08,08/12/2020,2,08/12/2020,08/16/2020,181.8,08/19/2020,507.7,,,,,,,,,,,,,,,,,,,,,,,,09/02/2020,783.2,,,,,,,,,,,,,09/02/2020,783.2,,
198,DC,em,8/28/20,2110.46,MF,yes,no,BE,,yes,08/04/2020,1,08/13/2020,20.64,08/13/2020,2,,08/18/2020,364.6,08/21/2020,1044.3,,,,,,,,,,,,,,08/25/2020,08/28/2020,2110.46,107,31,no,08/30/2020,106,,,,,,,,,,,,,,,,,,,,
199,DC,em,8/29/20,1679.13,MF,yes,no,BJ,,yes,08/02/2020,1,08/13/2020,53.50,08/13/2020,1,,,,08/21/2020,950.5,,,,,,,,,,,,,,08/26/2020,08/29/2020,1679.13,92,3,no,08/30/2020,53,,,,,,,,,,,,,,,,,,,,missed molt to 4th?
200,DC,wowe mongo,9/13/20,13026,MF,yes,yes,BP,,yes,08/04/2020,1,08/14/2020,29.09,08/14/2020,1,08/14/2020,08/18/2020,71.3,08/24/2020,392,08/30/2020,2680.4,,,,,,,,,,,,,,,,,,,,,,,,,,09/06/2020,10644.7,,,,,,,,,09/13/2020,13026,,
